park_id,park,year,category,value_usd,unit,geography,population,source_table,source_url,retrieved_utc
slide,Slide Rock State Park,2025,Admission/recreation,4686000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),35,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
slide,Slide Rock State Park,2025,Camping,797000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),35,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
slide,Slide Rock State Park,2025,Lodging,18963000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),35,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
slide,Slide Rock State Park,2025,Groceries,5763000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),35,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
slide,Slide Rock State Park,2025,Food and beverage,10019000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),35,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
slide,Slide Rock State Park,2025,Retail,5406000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),35,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
slide,Slide Rock State Park,2025,Auto,4787000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),35,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
slide,Slide Rock State Park,2025,Other,1045000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),35,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
slide,Slide Rock State Park,2025,Published direct total,51467000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),35,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
red,Red Rock State Park,2025,Admission/recreation,1009000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
red,Red Rock State Park,2025,Camping,571000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
red,Red Rock State Park,2025,Lodging,7448000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
red,Red Rock State Park,2025,Groceries,2044000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
red,Red Rock State Park,2025,Food and beverage,3881000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
red,Red Rock State Park,2025,Retail,1255000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
red,Red Rock State Park,2025,Auto,1508000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
red,Red Rock State Park,2025,Other,496000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
red,Red Rock State Park,2025,Published direct total,18213000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
dead,Dead Horse Ranch State Park,2025,Admission/recreation,1469000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
dead,Dead Horse Ranch State Park,2025,Camping,4421000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
dead,Dead Horse Ranch State Park,2025,Lodging,1966000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
dead,Dead Horse Ranch State Park,2025,Groceries,2840000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
dead,Dead Horse Ranch State Park,2025,Food and beverage,3228000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
dead,Dead Horse Ranch State Park,2025,Retail,1170000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
dead,Dead Horse Ranch State Park,2025,Auto,2806000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
dead,Dead Horse Ranch State Park,2025,Other,543000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
dead,Dead Horse Ranch State Park,2025,Published direct total,18444000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
jerome,Jerome State Historic Park,2025,Admission/recreation,662000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
jerome,Jerome State Historic Park,2025,Camping,187000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
jerome,Jerome State Historic Park,2025,Lodging,2819000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
jerome,Jerome State Historic Park,2025,Groceries,680000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
jerome,Jerome State Historic Park,2025,Food and beverage,1803000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
jerome,Jerome State Historic Park,2025,Retail,863000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
jerome,Jerome State Historic Park,2025,Auto,582000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
jerome,Jerome State Historic Park,2025,Other,121000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
jerome,Jerome State Historic Park,2025,Published direct total,7718000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
fort,Fort Verde State Historic Park,2025,Admission/recreation,128000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
fort,Fort Verde State Historic Park,2025,Camping,76000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
fort,Fort Verde State Historic Park,2025,Lodging,596000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
fort,Fort Verde State Historic Park,2025,Groceries,111000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
fort,Fort Verde State Historic Park,2025,Food and beverage,281000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
fort,Fort Verde State Historic Park,2025,Retail,87000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
fort,Fort Verde State Historic Park,2025,Auto,147000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
fort,Fort Verde State Historic Park,2025,Other,23000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
fort,Fort Verde State Historic Park,2025,Published direct total,1448000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,2025,Admission/recreation,26000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,2025,Camping,45000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,2025,Lodging,77000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,2025,Groceries,34000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,2025,Food and beverage,52000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,2025,Retail,26000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,2025,Auto,38000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,2025,Other,2000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
rockin,Rockin' River Ranch State Park,2025,Published direct total,300000,nominal USD,within 50 miles of park,non-local visitors (over 50 miles away),44,https://extension.arizona.edu/sites/default/files/2026-06/ASP-2025-Economic-Impact-Report_05152026.pdf,2026-09-22
