park_id,park,community,year,month,visits,unit,status,source_url,retrieved_utc
slide,Slide Rock State Park,Sedona area,2024,1,11422,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,2,17642,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,3,34275,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,4,45464,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,5,52988,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,6,57732,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,7,58807,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,8,48618,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,9,44450,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,10,45922,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,11,28775,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2024,12,20921,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,1,16165,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,2,24182,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,3,37981,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,4,51275,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,5,43048,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,6,54512,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,7,53162,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,8,44339,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,9,35158,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,10,39104,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,11,21827,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
slide,Slide Rock State Park,Sedona area,2025,12,14333,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,1,5028,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,2,6429,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,3,12211,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,4,11115,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,5,8296,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,6,5104,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,7,3767,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,8,3678,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,9,5643,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,10,9027,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,11,8133,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2024,12,6754,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2024-1.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,1,5211,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,2,6761,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,3,10884,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,4,10332,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,5,6974,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,6,3789,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,7,3347,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,8,3057,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,9,4690,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,10,7983,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
red,Red Rock State Park,Sedona area,2025,11,7115,park visits,reported,https://in.nau.edu/wp-content/uploads/sites/212/State-Parks-2025-2.pdf,2026-09-22
